state,state_abv,census_reg,is_legal,online_legal,year_retail_legalized,year_online_legalized,years_since_retail,years_since_online,neighbor_legal_count,neighbor_legal_pct,current_annual_revenue,revenue_per_capita,problem_gambling_rate,population,pct_18_34_male,pct_college_enrolled,college_prop_bets,major_pro_franchises,median_house_income,unemployment_rate,lottery_revenue_per_capita,governor_party,legislature_control,has_tribal_gaming,num_liscenced_operators,tax_rate
Alabama,AL,south,0,0,NA,NA,0,0,2,0.50,0,0.000,0.022,5193088,0.199,0.06,0,0,108210,3.10,0,r,r,1,0,0.0000
Alaska,AK,west,0,0,NA,NA,0,0,0,0.00,0,0.000,0.022,737270,0.211,0.03,0,0,99858,4.60,0,r,r,1,0,0.0000
Arizona,AZ,west,1,1,2021,2021,5,5,3,0.60,538530735,70.638,0.016,7623818,0.217,0.09,0,4,99781,3.60,214,d,r,1,14,0.1000
Arkansas,AR,south,1,1,2019,2022,7,4,1,0.16,61172483,19.639,0.022,3114791,0.202,0.05,1,0,98678,3.40,186,r,r,1,3,0.2000
California,CA,west,0,0,NA,NA,0,0,3,1.00,0,0.000,0.017,39355309,0.218,0.07,0,15,96838,5.30,236,d,d,1,0,0.0000
Colorado,CO,west,1,1,2020,2019,6,7,1,0.14,580273972,96.510,0.024,6012561,0.229,0.06,0,4,95521,3.70,139,d,d,1,13,0.1000
Connecticut,CT,northeast,1,1,2021,2021,5,5,1,0.33,260098010,70.516,0.011,3688496,0.199,0.05,1,0,95322,4.40,436,d,d,1,3,0.1375
DC,DC,south,1,1,2019,2019,7,7,0,0.00,94472201,89.129,0.014,1059952,0.189,0.09,1,0,94605,3.90,0,r,r,0,4,0.3000
Delaware,DE,south,1,1,2018,2018,8,8,0,0.00,20654759,29.777,0.022,693645,0.287,0.08,1,0,93421,5.20,379,d,d,0,2,0.5000
Florida,FL,south,1,1,2023,2023,3,3,0,0.00,0,0.000,0.012,23462518,0.191,0.05,1,9,92911,3.30,377,r,r,1,1,0.0000
Georgia,GA,south,0,0,NA,NA,0,0,3,0.75,0,0.000,0.014,11302748,0.211,0.05,0,2,91665,3.10,474,r,r,0,0,0.0000
Hawaii,HI,west,0,0,NA,NA,0,0,0,0.00,0,0.000,0.022,1432820,0.176,0.04,0,0,89931,3.10,0,d,d,0,0,0.0000
Idaho,ID,west,0,0,NA,NA,0,0,5,0.83,0,0.000,0.022,2029733,0.206,0.07,0,0,88121,3.30,191,r,r,1,0,0.0000
Illinois,IL,midwest,1,1,2019,2019,7,7,0,0.00,1476610421,116.094,0.038,12719141,0.211,0.06,1,5,85086,4.80,303,d,d,0,9,0.5000
Indiana,IN,midwest,1,1,2019,2019,7,7,0,0.00,568492427,81.524,0.041,6973333,0.211,0.07,1,2,84972,3.60,233,r,r,1,12,0.0950
Iowa,IA,midwest,1,1,2019,2019,7,7,0,0.00,274451146,84.749,0.008,3238387,0.206,0.06,0,0,82174,2.80,141,r,r,1,13,0.0675
Kansas,KS,midwest,1,1,2022,2022,4,4,2,0.40,193558581,65.013,0.027,2977220,0.209,0.07,1,0,82095,2.80,104,d,r,1,6,0.1000
Kentucky,KY,south,1,1,2023,2023,3,3,4,0.57,330137046,71.662,0.011,4606864,0.203,0.06,1,0,81211,4.60,436,d,r,0,8,0.1425
Louisiana,LA,south,1,1,2022,2022,4,4,2,0.66,520317709,112.667,0.054,4618189,0.199,0.06,0,2,80306,4.30,146,r,r,1,7,0.1500
Maine,ME,northeast,1,1,2023,2023,3,3,0,0.00,66731883,47.165,0.022,1414874,0.182,0.06,0,0,80160,3.10,284,d,d,1,2,0.1000
Maryland,MD,south,1,1,2020,2020,6,6,5,1.00,638219072,101.865,0.019,6265347,0.194,0.06,0,2,77315,2.60,401,d,d,0,12,0.1500
Massachusetts,MA,northeast,1,1,2023,2023,3,3,4,0.80,864221708,120.801,0.02,7154084,0.213,0.07,0,4,76525,2.90,856,d,d,1,7,0.2000
Michigan,MI,midwest,1,1,2021,2021,5,5,2,0.66,286411342,28.279,0.021,10127884,0.209,0.05,1,5,76364,3.90,427,d,r,1,14,0.0840
Minnesota,MN,midwest,0,0,NA,NA,0,0,4,1.00,0,0.000,0.013,5830405,0.203,0.07,0,4,75780,2.70,124,d,d,1,0,0.0000
Mississippi,MS,south,1,0,2018,NA,8,0,0,0.00,49758823,16.844,0.039,2954160,0.196,0.06,1,0,74942,2.80,175,r,r,1,4,0.0000
Missouri,MO,midwest,1,1,2025,2025,1,1,7,0.88,0,0.000,0.022,6270541,0.204,0.05,0,4,74632,3.40,262,r,r,0,8,0.1000
Montana,MT,west,1,0,2019,NA,7,0,1,0.25,10305399,9.003,0.025,1144694,0.2,0.04,1,0,74631,3.10,72,r,r,1,1,0.0000
Nebraska,NE,midwest,1,0,2021,NA,5,0,3,0.50,9277287,4.597,0.022,2018006,0.208,0.07,1,0,74590,2.50,117,r,r,1,0,0.0000
Nevada,NV,west,1,1,1949,2010,77,16,0,0.00,595763000,181.514,0.027,3282188,0.211,0.04,1,2,73824,5.10,0,r,d,1,12,0.0675
New Hampshire,NH,northeast,1,1,NA,2020,0,6,0,0.00,103637023,73.224,0.022,1415342,0.194,0.17,1,0,73733,2.60,401,r,r,0,1,0.5100
New Jersey,NJ,northeast,1,1,2018,2018,8,8,0,0.00,1175092180,123.069,0.063,9548215,0.198,0.04,1,1,73311,4.70,358,d,d,0,17,0.1425
New Mexico,NM,west,1,0,2018,NA,8,0,1,0.20,0,0.000,0.012,2125498,0.201,0.05,1,0,72415,3.80,80,d,d,1,0,0.0000
New York,NY,northeast,1,1,2022,2022,4,4,4,0.80,2553917294,127.680,0.043,20002427,0.212,0.06,0,8,71810,4.20,448,d,d,1,8,0.5100
North Carolina,NC,south,1,1,2021,2023,5,3,3,0.75,734581825,65.600,0.022,11197968,0.205,0.05,1,3,71433,3.50,480,d,r,1,8,0.1800
North Dakota,ND,midwest,1,0,2021,NA,5,0,2,0.33,0,0.000,0.015,799358,0.222,0.07,1,0,70804,2.00,48,r,r,1,0,0.0000
Ohio,OH,midwest,1,1,2023,2021,3,5,4,0.80,1039088238,87.315,0.009,11900510,0.204,0.05,0,6,70804,4.00,356,r,r,0,16,0.2000
Oklahoma,OK,south,0,0,NA,NA,0,0,5,0.83,0,0.000,0.022,4123288,0.211,0.05,0,1,70333,3.50,81,r,r,1,0,0.0000
Oregon,OR,west,1,1,2019,2019,7,7,1,0.25,101297941,23.703,0.026,4273586,0.208,0.05,0,1,69477,4.20,315,d,d,1,1,0.5100
Pennsylvania,PA,northeast,1,1,2018,2018,8,8,2,0.33,602495582,46.135,0.022,13059432,0.195,0.05,0,7,69183,3.40,340,d,r,0,12,0.3600
Rhode Island,RI,northeast,1,1,2019,2019,7,7,0,0.00,40750057,36.563,0.022,1114521,0.209,0.07,1,0,68545,4.10,537,d,d,1,1,0.5100
South Carolina,SC,south,0,0,NA,NA,0,0,2,1.00,0,0.000,0.022,5570274,0.195,0.05,0,0,67804,3.20,398,r,r,0,0,0.0000
South Dakota,SD,midwest,1,0,2021,NA,5,0,4,0.66,1019998,1.091,0.014,935094,0.2,0.06,0,0,67769,2.00,264,r,r,1,0,0.0000
Tennessee,TN,south,1,1,NA,2019,0,7,2,0.25,582255357,79.597,0.022,7315076,0.211,0.05,0,3,67631,3.10,255,r,r,0,11,0.1970
Texas,TX,south,0,0,NA,NA,0,0,3,0.75,0,0.000,0.022,31709821,0.224,0.05,0,8,62268,4.00,265,r,r,1,0,0.0000
Utah,UT,west,0,0,NA,NA,0,0,4,0.66,0,0.000,0.022,3538904,0.25,0.13,0,1,62212,2.80,0,r,r,0,0,0.0000
Vermont,VT,northeast,1,1,NA,2024,0,2,3,1.00,22827897,35.411,0.022,644663,0.184,0.06,0,0,62138,2.10,277,r,d,0,3,0.3170
Virginia,VA,south,1,1,2021,2021,5,5,3,0.50,742304455,83.592,0.022,8880107,0.199,0.06,0,0,61118,2.80,597,d,d,1,13,0.1500
Washington,WA,west,1,1,2020,2020,6,6,1,0.50,0,0.000,0.021,8001020,0.219,0.04,0,3,58700,4.80,116,d,d,1,0,0.0000
West Virginia,WV,south,1,1,2018,2018,8,8,1,0.20,61931984,35.066,0.022,1766147,0.187,0.08,0,0,58229,4.30,408,r,r,0,7,0.1000
Wisconsin,WI,midwest,1,1,2021,2026,5,1,4,1.00,0,0.000,0.013,5972787,0.203,0.05,1,3,55948,2.90,152,d,r,1,0,0.0000
Wyoming,WY,west,1,1,2021,2021,5,5,3,0.50,25190329,42.786,0.022,588753,0.198,0.05,1,0,54203,2.80,65,r,r,1,5,0.1000